Ology,Meaning,,
Acology,Study of medical remedies,,
Actinobiology,Study of radiation effects on organisms,,
Adenology,Study of glands,,
Aerobiology,Study of airborne organisms,,
Aerology,Study of the atmosphere,,
Agnoiology,Study of ignorance,,
Agrobiology,Study of plant nutrition and growth,,
Algology,Study of algae,,
Alology,Study of algae,,
Amphibiology,Study of amphibians,,
Andrology,Study of male health,,
Anemology,Study of wind,,
Anesthesiology,Study of anesthesia and anesthetics,,
Angiology,Study of blood vessels and lymphatics,,
Anthropology,Study of human beings,,
Anthrozoology,Study of human-animal interactions,,
Apiology,Study of bees,,
Arachnology,Study of spiders,,
Araneology,Study of spiders,,
Archaeology,Study of ancient cultures,,
Astacology,Study of crayfish,,
Astrobiology,Study of life in the universe,,
Astrometeorology,Study of the influence of stars on weather,,
Astronomy,Study of celestial bodies,,
Audiology,Study of hearing,,
Autecology,Study of individual species' ecology,,
Axiology,Study of values and value judgments,,
Bacteriology,Study of bacteria,,
Balneology,Study of therapeutic bathing and medicinal springs,,
Batrachology,Study of amphibians,,
Bibliology,Study of books,,
Bioacoustics,Study of sound in biological systems,,
Bioinformatics,Study of biological data,,
Biology,Study of life,,
Biomechanics,Study of the mechanics of living organisms,,
Biometeorology,Study of the effects of atmospheric conditions on living organisms,,
Biosemiotics,Study of biological sign processes,,
Biotechnology,Study of technology based on biology,,
Bromatology,Study of food,,
Bryology,Study of mosses,,
Bryozoology,Study of moss animals,,
Campanology,Study of bells,,
Carcinology,Study of crabs and other crustaceans,,
Cardiology,Study of the heart,,
Carpology,Study of fruits and seeds,,
Cetology,Study of whales,,
Chalcology,Study of copper,,
Chiropterology,Study of bats,,
Chronobiology,Study of biological rhythms,,
Chrysology,Study of precious metals,,
Cladistics,Study of evolutionary relationships,,
Climatology,Study of climate,,
Clinology,Study of beds and bedding, dolphins, and porpoises
Cognitive Science,Study of the mind and its processes,,
Coleopterology,Study of beetles,,
Conchology,Study of shells,,
Coniology,Study of dust in the atmosphere and its effects on living organisms,,
Coprology,Study of feces,,
Cosmology,Study of the universe,,
Criminology,Study of crime,,
Cryobiology,Study of the effects of low temperatures on living organisms,,
Cryology,Study of snow and ice,,
Cryptology,Study of codes and secret writing,,
Cryptozoology,Study of hidden animals (cryptids),,
Cynology,Study of dogs,,
Cytology,Study of cells,,
Cytomorphology,Study of cell structure,,
Dactylology,Study of sign language,,
Deipnology,Study of dining,,
Deltiology,Study of postcards,,
Demography,Study of populations,,
Dendrology,Study of trees,,
Deontology,Study of duty and ethics,,
Dermatology,Study of the skin,,
Doxology,Study of praise or worship,,
Dysmorphology,Study of congenital malformations,,
Ecclesiology,Study of churches,,
Ecology,Study of ecosystems,,
Ecophysiology,Study of the relationship between the physiology of organisms and their environment,,
